,RHO,TYPE,bottom,count_samp,error,force_median,id,index,l,mean_samp,median_samp,relative_height_mm,stdev_samp,top,force_log
0,241.9999999999999,N,47.0,7,-219.40144366556902,0.010784305211611155,RP_01,0,0.1751955452763232,22.598556334430878,21.468414154508018,15.0,4.066479597846256,50.0,-4.529663422949041
1,220.99999999999994,N,44.0,7,177.59681380512524,0.9559460401971224,RP_01,1,0.09729271170573668,398.5968138051252,409.30065553727275,45.0,19.569935414861458,47.0,-0.045053810832168646
2,152.99999999999997,N,41.0,7,72.77031793522735,0.4575220467740211,RP_01,2,0.18965677736149428,225.77031793522733,218.79671629879897,75.0,39.43803760891404,44.0,-0.7819302057576545
3,370.99999999999994,F,38.0,7,197.9172859916245,7.867568616434522,RP_01,3,0.15004118100739636,568.9172859916245,571.6207331167664,105.0,10.750147481887648,41.0,2.0627490714226218
4,385.0,F,35.0,7,157.34653944456363,6.479528590844631,RP_01,4,0.17486327468933188,542.3465394445636,543.5344412835503,135.0,3.679610444174619,38.0,1.8686477593914497
5,366.9999999999999,F,32.0,7,154.3371364326905,4.937733725362806,RP_01,5,0.17171460035866049,521.3371364326904,520.149937197247,165.0,7.080887719171371,35.0,1.5969064658892307
6,261.9999999999999,F,29.0,7,29.49185061367399,0.3334073463266125,RP_01,6,0.3929244367667834,291.4918506136739,293.96284485807814,195.0,8.056912721972965,32.0,-1.098390274335278
7,231.9999999999999,F,26.0,7,41.644353928404826,0.22518634205114288,RP_01,7,0.5629933498825622,273.6443539284047,271.6301196234045,225.0,7.47334518694802,29.0,-1.4908270326412825
8,230.0,D,23.0,7,41.51053689506301,0.17771830583258016,RP_01,8,0.7103140503984708,271.510536895063,272.52777537867183,255.0,1.6600180362899921,26.0,-1.72755553374976
9,240.99999999999994,D,20.0,7,40.190860752770675,0.0865399999379766,RP_01,9,0.8766093471867952,281.1908607527706,281.35823433686284,285.0,0.8276482712258545,23.0,-2.4471485449021
10,219.00000000000006,D,17.0,7,54.33732817046666,0.18750800318913777,RP_01,10,0.7808246949909341,273.3373281704667,273.6403601312395,315.0,2.6777418164884237,20.0,-1.6739337508071923
11,233.0000000000001,D,14.0,7,47.01982992947973,0.2936301521282766,RP_01,11,0.6897488040412859,280.01982992947984,280.0951661320844,345.0,0.8910029960780658,17.0,-1.2254342895302603
12,224.00000000000006,D,11.0,7,54.80084808019649,0.3164067320170882,RP_01,12,0.8056970351191299,278.80084808019654,278.2688811630216,375.0,1.6187136325487377,14.0,-1.1507267663962524
13,228.0000000000001,D,8.0,7,51.86148777536573,0.17850512062644405,RP_01,13,0.8752548189798018,279.86148777536584,277.39171007548117,405.0,6.0799263078620776,11.0,-1.723137991191027
14,224.00000000000006,D,5.0,7,62.479062016682064,0.18363957791269406,RP_01,14,1.0339339729126154,286.4790620166821,289.4420539756639,435.0,5.5881816660225265,8.0,-1.6947802580534737
15,225.99999999999994,D,2.0,7,46.607687594849494,0.12052788416048044,RP_01,15,0.7976921970904459,272.60768759484944,271.351132932033,465.0,3.6775590680011736,5.0,-2.1158741489997475
16,275.99999999999994,N,37.0,7,146.50203695617864,1.3064375496424518,RP_02,0,0.12306795485841768,422.5020369561786,418.66628248345035,15.0,8.348817427209914,40.0,0.2673040050982002
17,265.0,N,34.0,7,307.75937295727863,15.575914238862904,RP_02,1,0.2675511769935625,572.7593729572786,634.9941646115449,45.0,107.67749355513911,37.0,2.7457257620752147
18,390.0,F,31.0,7,181.26461173981238,9.009555637148484,RP_02,2,0.17042122121242317,571.2646117398124,572.4292980323993,75.0,10.894029231839902,34.0,2.1982857515525875
19,380.99999999999994,F,28.0,7,159.79084526878142,6.692458950378412,RP_02,3,0.1858177291951144,540.7908452687814,541.6254310147607,105.0,3.7271507274850566,31.0,1.9009813627183128
20,369.00000000000006,F,25.0,7,166.48912601021817,5.876776176703111,RP_02,4,0.172728242693785,535.4891260102182,535.3974479495464,135.0,0.8678851113066289,28.0,1.771008342287803
21,316.9999999999999,F,22.0,7,144.3701350538696,7.2877658171419215,RP_02,5,0.45274565204429595,461.3701350538695,564.7505189930043,165.0,144.87454553769373,25.0,1.9861970267770015
23,205.99999999999994,F,16.0,7,75.44846882105298,0.15660728127273177,RP_02,7,0.9110680353762363,281.4484688210529,281.48774441615933,225.0,3.735865118377828,19.0,-1.854014000511884
24,211.9999999999999,D,13.0,7,89.00506875105117,0.14168508919852354,RP_02,8,1.2039229344286995,301.00506875105106,301.4107681072471,255.0,5.904634629888608,16.0,-1.9541483657791374
25,210.0,D,10.0,7,70.42446496347867,0.12871053702970547,RP_02,9,0.888836730136295,280.42446496347867,281.30661561800457,285.0,3.542089413793801,13.0,-2.050189294928767
26,211.9999999999999,D,7.0,7,70.9488490945634,0.11327613626424514,RP_02,10,0.921576724767011,282.9488490945633,283.1376620915676,315.0,3.0145990602700783,10.0,-2.177926757455232
27,269.00000000000006,N,21.0,7,175.08470731666432,1.6672698335402656,RP_06,0,0.1243226970835042,444.0847073166644,444.31946980591425,15.0,2.6099992922547064,24.0,0.5111874584200954
28,210.0,N,18.0,7,98.01342497854682,0.37815299592256074,RP_06,1,0.2063254668248566,308.0134249785468,304.95201055825663,45.0,10.836770236796706,21.0,-0.9724564141343016
29,210.0,D,15.0,7,66.18469351055444,0.25459846516494966,RP_06,2,0.2960430228699224,276.18469351055444,276.3641344707054,75.0,2.914546699744886,18.0,-1.3680676212943246
30,199.00000000000006,D,12.0,7,33.55392103841862,0.09304646095697958,RP_06,3,0.4728430650829716,232.55392103841868,232.0409437673883,105.0,5.889651234188528,15.0,-2.3746563303949384
31,199.00000000000006,D,9.0,7,35.84114236174901,0.0475789524613527,RP_06,4,0.6356068129558344,234.84114236174906,235.90630431633372,135.0,13.178027280311523,12.0,-3.045364790714702
32,211.9999999999999,D,6.0,7,75.31818964576371,0.31768103126229635,RP_06,5,0.9984909550018671,287.3181896457636,284.3228495812913,165.0,7.466426331270002,9.0,-1.1467074459345676
33,225.99999999999994,D,3.0,7,109.98770982684869,0.08528779294338165,RP_06,6,1.2830660655725379,335.98770982684863,332.4825302179374,195.0,15.930157936738967,6.0,-2.4617239420713903
34,393.0000000000001,N,34.0,7,189.55348250181805,8.686320590689375,RP_08,0,0.13709445897622116,582.5534825018182,584.9584926761768,15.0,6.024494917617969,37.0,2.1617494423296684
35,349.00000000000006,N,31.0,7,148.464488456536,4.11209681978505,RP_08,1,0.19900085684264623,497.46448845653606,495.58100794294364,45.0,6.16244912465372,34.0,1.4139330735432396
36,345.99999999999994,N,28.0,7,143.01851677999468,3.5679460437891106,RP_08,2,0.19056710786251982,489.0185167799946,487.6939172176854,75.0,10.929499286627626,31.0,1.2719900923470053
37,200.0,D,25.0,7,74.02961392590964,0.23375529634067732,RP_08,3,0.3903876745919227,274.02961392590964,273.69063417440225,105.0,1.1084604625569563,28.0,-1.4534804529280974
38,216.9999999999999,D,22.0,7,62.27060590486076,0.265389341403158,RP_08,4,0.6188069206900082,279.27060590486064,278.7900672615671,135.0,2.036381103750503,25.0,-1.3265573183910193
39,215.99999999999994,D,19.0,7,62.071059643460444,0.2741021455653098,RP_08,5,0.7199416662399848,278.0710596434604,277.22369307670994,165.0,3.233797522043142,22.0,-1.2942544480305205
40,216.9999999999999,D,16.0,7,60.768522466338936,0.2808063933097903,RP_08,6,1.110586446805217,277.7685224663388,277.42891250972013,195.0,3.2965186053838607,19.0,-1.2700898388924136
41,192.00000000000003,D,13.0,7,79.51151560847839,0.20250000163209086,RP_08,7,0.8860892128766537,271.5115156084784,274.82810657295715,225.0,8.854270879380675,16.0,-1.5970153843758352
42,208.0000000000001,D,10.0,7,67.52393585877121,0.1824379158158767,RP_08,8,0.8283323043679491,275.5239358587713,276.15438784356803,255.0,3.324041643477484,13.0,-1.701345351146685
43,190.0,D,7.0,7,80.45939382872996,0.188150811860039,RP_08,9,0.6599440067896863,270.45939382872996,270.8177828578048,285.0,1.3828363286562895,10.0,-1.670511446990326
44,219.00000000000006,N,43.0,7,-12.531508417092397,0.1035050651014305,RP_09,0,0.18041937678674472,206.46849158290766,204.23528971301835,15.0,7.161953896433312,46.0,-2.2681347292960745
45,280.99999999999994,F,40.0,7,157.30150431297682,4.657825398650017,RP_09,1,0.4884353338617356,438.30150431297676,457.02707735535955,45.0,93.45459223457328,43.0,1.5385486865711102
46,321.9999999999999,F,37.0,7,129.4335875073363,2.5801541203783818,RP_09,2,0.23156821874034864,451.4335875073362,451.3993348237342,75.0,7.995900957333516,40.0,0.9478491337301357
47,270.0,F,34.0,7,2.0394539931929216,0.20284089276491696,RP_09,3,0.6273777971086894,272.0394539931929,271.74087364745645,105.0,2.3311767533758383,37.0,-1.5953333867392456
48,224.00000000000006,F,31.0,7,57.88797064254982,0.29374911969511136,RP_09,4,0.557578010328534,281.8879706425499,282.32412663262187,135.0,5.589613657586802,34.0,-1.2250292103108584
49,235.0,F,28.0,7,34.24701716201565,0.20578665209493366,RP_09,5,0.5352784749227396,269.24701716201565,269.08791325142624,165.0,2.9588291861311884,31.0,-1.5809153163108003
50,225.99999999999994,F,25.0,7,31.2832019887133,0.07276619690591384,RP_09,6,0.7097520250933522,257.28320198871324,255.59785702727493,195.0,5.855077694222017,28.0,-2.6205037598286935
51,220.0,F,22.0,7,59.60987444555474,0.3609448321335029,RP_09,7,0.6993096110046244,279.60987444555474,271.67120271830305,225.0,24.967067276119305,25.0,-1.0190301519021412
52,231.9999999999999,D,19.0,7,54.68495784262478,0.12126694833042029,RP_09,8,0.9521866265541147,286.68495784262467,286.0473886837133,255.0,10.397084966677252,22.0,-2.1097609788881613
53,225.0,D,16.0,7,53.50807429497945,0.1010885762260363,RP_09,9,0.8416243492945485,278.50807429497945,273.50420146372494,285.0,12.53028712503952,19.0,-2.291758154136976
54,229.00000000000006,D,13.0,7,44.99824610396814,0.09622278922622392,RP_09,10,0.8190365225723449,273.9982461039682,275.77587006120564,315.0,3.2624361795203076,16.0,-2.341089055121995
55,235.0,D,10.0,7,64.59252445023594,0.08367475702786106,RP_09,11,1.0178688496726658,299.59252445023594,300.83506919439395,345.0,5.081628320620596,13.0,-2.480817935649213
56,205.0,D,7.0,7,-10.456824126380326,0.03798151482721985,RP_09,12,0.5047733067797802,194.54317587361967,198.72759067636747,375.0,12.45164713294,10.0,-3.270655689527136
57,210.99999999999994,D,4.0,7,42.31262817467396,0.8304550793359569,RP_09,13,1.1220349276609327,253.3126281746739,234.9707172893693,405.0,50.37978330298088,7.0,-0.1857814400900603
58,280.0,N,28.0,7,112.03690424788022,0.9002297461116594,RP_10,0,0.11095034408263284,392.0369042478802,390.82815614580784,15.0,2.8912976866545863,31.0,-0.10510527477715213
59,365.0,N,25.0,7,189.68648704571206,6.529003184800848,RP_10,1,0.14707771334363243,554.686487045712,553.4991721998866,45.0,4.125826239928574,28.0,1.876254279997431
60,346.9999999999999,F,22.0,7,196.2565245401663,5.847976966983455,RP_10,2,0.15150326503805875,543.2565245401662,543.2807115543404,75.0,1.2961798084295177,25.0,1.7660957838254008
61,301.9999999999999,F,19.0,7,201.9659753191699,4.30965046774829,RP_10,3,0.19037880689923145,503.9659753191698,503.16613868661517,105.0,3.1904860419575383,22.0,1.4608568028568039
62,211.9999999999999,F,16.0,7,124.57381228330456,2.7696747715874195,RP_10,4,0.5612784734830918,336.57381228330445,288.06698687359705,135.0,118.64195645174064,19.0,1.0187299023267675
63,204.00000000000006,D,13.0,7,119.31170152585526,0.06613159964029638,RP_10,5,1.1225993233468867,323.3117015258553,330.4382643571604,165.0,17.783499139984848,16.0,-2.7161085882595826
64,192.99999999999997,D,10.0,7,129.44245970254715,0.08020581702270117,RP_10,6,1.1781481649826873,322.4424597025471,323.0196485879266,195.0,10.205426400026886,13.0,-2.5231592352848202
65,192.00000000000003,D,7.0,7,135.8087037352665,0.10707059108976599,RP_10,7,1.3569602160451146,327.80870373526653,331.542239492295,225.0,25.80511000685001,10.0,-2.2342669322353785
66,187.00000000000003,D,4.0,7,141.77424404141388,0.1065889533034101,RP_10,8,1.2793060502554792,328.7742440414139,304.05329137879863,255.0,40.572490047866275,7.0,-2.238775400167846
67,187.99999999999997,D,1.0,7,126.42183751136415,0.13819931774799069,RP_10,9,1.3889743615744443,314.4218375113641,314.48412606082513,285.0,0.255911757558783,4.0,-1.9790583043612546
68,390.0,N,33.0,7,-91.27702932833847,0.4952537215354208,RP_12,0,0.4675805930774754,298.7229706716615,295.23987082339823,15.0,24.2220851087988,36.0,-0.7026850789735157
69,361.9999999999999,F,30.0,7,31.37434404920151,1.089656821085434,RP_12,1,0.19886542903930932,393.3743440492014,394.05655426676117,45.0,4.091942124304412,33.0,0.08586280362669042
70,365.0,F,27.0,7,66.5405545221418,1.6259476869743936,RP_12,2,0.1690982342035658,431.5405545221418,431.5674112413169,75.0,1.5337440125788648,30.0,0.4860908377755859
71,234.00000000000006,D,24.0,7,43.478511829269564,0.24941001879762226,RP_12,3,0.38455720561068746,277.4785118292696,276.4556065391035,105.0,5.543848301310452,27.0,-1.3886570749407237
72,219.00000000000006,D,21.0,7,52.71084287788568,0.04442707398742724,RP_12,4,0.8173327359704121,271.71084287788574,271.52587509931203,135.0,8.79363634225539,24.0,-3.1139062208892767
73,268.0000000000001,D,18.0,7,44.880952655556996,0.08403717113262789,RP_12,5,1.138296384748575,312.8809526555571,315.3831225735255,165.0,16.603004287496177,21.0,-2.4764960645353753
74,245.99999999999994,D,15.0,7,47.497609458301724,0.13437843098881355,RP_12,6,1.0651426769749714,293.49760945830167,293.14899500842415,195.0,7.497573920514687,18.0,-2.007095347486162
75,225.0,D,12.0,7,65.44968509362178,0.1457463806057735,RP_12,7,1.0514668247198355,290.4496850936218,289.7431043840275,225.0,5.20840542056045,15.0,-1.925887286953369
76,225.99999999999994,D,9.0,7,47.31668355870187,0.308667007007947,RP_12,8,1.0225279333658885,273.3166835587018,273.1659632255521,255.0,1.7796295152121935,12.0,-1.1754922303871362
77,226.9999999999999,D,6.0,7,51.311923829252066,0.2182182566663255,RP_12,9,0.9032150483696996,278.31192382925195,277.6274148496383,285.0,2.0219258794501975,9.0,-1.522259539668383
78,229.00000000000006,D,3.0,7,47.583974064520305,0.31877266007438176,RP_12,10,0.9525379637555498,276.58397406452036,277.036893315966,315.0,2.727300225451816,6.0,-1.1432770946068729
79,260.99999999999994,N,40.0,7,69.0460317410849,5.398968154368404,RP_13,0,0.6841674042054545,330.04603174108485,327.03982805070785,15.0,18.81842572097563,43.0,1.6862078527872675
80,265.99999999999994,N,37.0,7,367.6352712849642,15.397309733287205,RP_13,1,0.13363262477096263,633.6352712849641,633.2714184855056,45.0,4.217825642944849,40.0,2.7341928015153583
81,398.0000000000001,N,34.0,7,178.73430382327615,12.511602466882481,RP_13,2,0.21445214839036833,576.7343038232763,576.5947835812532,75.0,7.280335197196033,37.0,2.5266564111500704
82,391.9999999999999,F,31.0,7,236.8634879747815,14.116575598158246,RP_13,3,0.12811987486493334,628.8634879747814,629.3624787571345,105.0,8.231588547314043,34.0,2.6473496812751365
83,400.99999999999994,F,28.0,7,185.69551268344225,12.414480899986192,RP_13,4,0.19163851732379347,586.6955126834422,587.315138689823,135.0,5.172653687713568,31.0,2.518863605761056
84,339.00000000000006,F,25.0,7,244.62365587118705,8.234511404047954,RP_13,5,0.12371558323618528,583.6236558711871,582.0592840919252,165.0,5.214067089295742,28.0,2.1083340302419638
85,369.00000000000006,D,22.0,7,177.14747118264444,7.852128138580754,RP_13,6,0.20317077408855827,546.1474711826445,550.961719215335,195.0,12.365922307924365,25.0,2.0607845955093755
86,316.9999999999999,D,19.0,7,-3.8324458017472125,0.1340793294901911,RP_13,7,1.044707921593042,313.1675541982527,313.44939903056087,225.0,11.687314929712526,22.0,-2.0093236430798487
87,220.0,D,16.0,7,65.58337660217774,0.13704454537686664,RP_13,8,0.9646497733648468,285.58337660217774,285.83605533211164,255.0,2.307156881793121,19.0,-1.987449257267154
88,229.00000000000006,D,13.0,7,74.49888661304306,0.2428476324235282,RP_13,9,1.2409053593433714,303.4988866130431,294.0176816940888,285.0,41.66912259509524,16.0,-1.4153210593689411
89,221.9999999999999,D,10.0,7,74.82392006232686,0.18697491356216173,RP_13,10,1.3692901276530416,296.82392006232675,297.64802181314775,315.0,21.135859956986017,13.0,-1.6767808232007462
90,249.00000000000006,D,7.0,7,54.35131704082147,3.0205562679758,RP_13,11,0.8314751961784889,303.3513170408215,327.4230820179435,345.0,89.93108511280482,10.0,1.105441009118992
91,413.0000000000001,N,44.0,7,144.13278288283914,14.540755357142855,RP_15,0,0.27896257788888795,557.1327828828393,548.4954054081564,15.0,27.55738871478896,47.0,2.6769554210409323
92,416.9999999999999,N,41.0,7,228.30263052933321,21.527746842857145,RP_15,1,0.16542664153215864,645.3026305293331,651.1585741475841,45.0,16.354162734262864,44.0,3.069342653919246
93,334.00000000000006,N,38.0,7,241.81805751335702,19.475526220724266,RP_15,2,0.2818717920921944,575.8180575133571,577.6373460574202,75.0,19.806310494019673,41.0,2.9691586117113724
94,301.9999999999999,N,35.0,7,120.43012553993054,16.36443852846983,RP_15,3,0.5662831844258106,422.43012553993043,411.8816879284947,105.0,81.13772495278175,38.0,2.7951105980746083
