,layer_height,layer_thickness,layer_height_scaled,layer_thickness_scaled,id
0,50,50,15.21540131844472,15.21540131844472,RP_01
1,100,50,58.861519179106075,43.646117860661356,RP_01
2,150,50,82.60460311645824,23.743083937352168,RP_01
3,200,50,98.07173233406317,15.467129217604935,RP_01
4,250,50,161.00055924303172,62.92882690896854,RP_01
5,300,50,233.5825566885608,72.58199744552908,RP_01
6,350,50,305.7470866119967,72.1645299234359,RP_01
7,400,50,391.0387051745248,85.29161856252816,RP_01
8,450,50,458.7053502631824,67.6666450886576,RP_01
9,500,50,504.0607680498517,45.35541778666926,RP_01
0,50,50,25.88429637692879,25.88429637692879,RP_02
1,100,50,64.51462930420813,38.63033292727933,RP_02
2,150,50,140.23525003313364,75.72062072892552,RP_02
3,200,50,195.66224506159745,55.4269950284638,RP_02
4,250,50,258.8765573311244,63.21431226952695,RP_02
5,300,50,308.05369766313504,49.17714033201068,RP_02
6,350,50,332.7728243612235,24.719126698088484,RP_02
7,400,50,401.3751182279414,68.60229386671789,RP_02
0,50,50,53.6571036513948,53.6571036513948,RP_06
1,100,50,95.69029560024595,42.03319194885115,RP_06
2,150,50,146.96407454056973,51.27377894032378,RP_06
3,200,50,166.85934298656383,19.8952684459941,RP_06
4,250,50,253.99138614449157,87.13204315792775,RP_06
0,50,50,62.27156457154278,62.27156457154278,RP_08
1,100,50,82.67981775585702,20.40825318431424,RP_08
2,150,50,144.09856577004672,61.418748014189696,RP_08
3,200,50,157.4862012647381,13.387635494691366,RP_08
4,250,50,242.06265349626767,84.57645223152959,RP_08
5,300,50,300.1353842869696,58.07273079070194,RP_08
6,350,50,353.19556466403805,53.06018037706844,RP_08
7,400,50,404.39158967143754,51.19602500739951,RP_08
0,50,50,29.115933837759,29.115933837759,RP_09
1,100,50,79.16457934033585,50.048645502576846,RP_09
2,150,50,149.69523430918514,70.5306549688493,RP_09
3,200,50,167.9431330323724,18.24789872318725,RP_09
4,250,50,224.42760266629654,56.48446963392414,RP_09
5,300,50,285.4572417891325,61.02963912283597,RP_09
6,350,50,337.59944150235384,52.142199713221316,RP_09
7,400,50,352.6158871998199,15.016445697466082,RP_09
8,450,50,424.4937114213236,71.87782422150372,RP_09
9,500,50,507.037920103696,82.54420868237241,RP_09
0,50,50,61.847717197474516,61.847717197474516,RP_10
1,100,50,128.63320214590706,66.78548494843255,RP_10
2,150,50,145.56033523013855,16.927133084231478,RP_10
3,200,50,160.56409330968722,15.003758079548668,RP_10
4,250,50,244.38557039639096,83.82147708670374,RP_10
5,300,50,286.8017048305354,42.416134434144425,RP_10
6,350,50,353.74449450834345,66.94278967780801,RP_10
0,50,50,14.532034382582324,14.532034382582324,RP_12
1,100,50,80.54324921871496,66.01121483613264,RP_12
2,150,50,164.95954191869498,84.41629269998,RP_12
3,200,50,188.53015554674425,23.570613628049276,RP_12
4,250,50,274.80905147513806,86.27889592839381,RP_12
5,300,50,322.8875073586333,48.07845588349524,RP_12
6,350,50,394.26666968012523,71.37916232149193,RP_12
7,400,50,407.23841140317126,12.971741723046023,RP_12
0,50,50,84.98920005618886,84.98920005618886,RP_13
1,100,50,171.606114892042,86.61691483585315,RP_13
2,150,50,247.96233421350107,76.35621932145906,RP_13
3,200,50,269.53686282562813,21.574528612127054,RP_13
4,250,50,316.44643149449905,46.90956866887092,RP_13
5,300,50,335.20717035296957,18.760738858470532,RP_13
6,350,50,407.20658269461194,71.99941234164237,RP_13
7,400,50,433.1319291345417,25.925346439929715,RP_13
8,450,50,451.65612880554283,18.524199671001142,RP_13
0,50,50,75.48495408708024,75.48495408708024,RP_15
1,100,50,111.83677792120142,36.351823834121184,RP_15
2,150,50,137.62009953030125,25.783321609099833,RP_15
3,200,50,169.28883332756135,31.668733797260096,RP_15
4,250,50,227.32648622303702,58.037652895475674,RP_15
5,300,50,243.56550722924166,16.239021006204645,RP_15
6,350,50,326.4912043650744,82.92569713583276,RP_15
7,400,50,346.69482643311994,20.20362206804556,RP_15
8,450,50,432.2378969838909,85.54307055077092,RP_15
9,500,50,499.1083584387901,66.87046145489921,RP_15
0,50,50,81.98547411159556,81.98547411159556,RP_16
1,100,50,168.51961959744762,86.53414548585204,RP_16
2,150,50,252.29871541232274,83.77909581487512,RP_16
3,200,50,318.0949799711483,65.79626455882553,RP_16
4,250,50,376.039996316563,57.94501634541472,RP_16
5,300,50,406.3870825429992,30.347086226436222,RP_16
6,350,50,432.57979363307675,26.19271109007755,RP_16
7,400,50,468.4795122193086,35.89971858623187,RP_16
8,450,50,493.05100466124685,24.571492441938215,RP_16
9,500,50,517.6377574053786,24.58675274413178,RP_16
10,550,50,557.2808949724403,39.64313756706172,RP_16
0,50,50,23.745313779074202,23.745313779074202,RP_17
1,100,50,78.40065078975027,54.65533701067608,RP_17
2,150,50,165.39678808894791,86.99613729919764,RP_17
3,200,50,218.68626631726926,53.28947822832134,RP_17
4,250,50,247.55070428617523,28.864437968905964,RP_17
5,300,50,313.5535414897568,66.00283720358159,RP_17
6,350,50,346.0687365996224,32.51519510986557,RP_17
0,50,50,57.14246874535084,57.14246874535084,RP_18
1,100,50,102.94144786893025,45.79897912357942,RP_18
2,150,50,185.9257258734899,82.98427800455964,RP_18
3,200,50,239.2290683841453,53.30334251065539,RP_18
4,250,50,251.9559495411999,12.726881157054592,RP_18
5,300,50,296.0862005878762,44.13025104667628,RP_18
0,50,50,20.026221316919756,20.026221316919756,SD_02
1,100,50,34.6500787636471,14.623857446727342,SD_02
2,150,50,107.67780549081921,73.02772672717211,SD_02
3,200,50,162.41736259695838,54.73955710613917,SD_02
4,250,50,246.45499579376755,84.03763319680917,SD_02
5,300,50,269.388184947269,22.93318915350143,SD_02
6,350,50,315.38392674404867,45.99574179677969,SD_02
7,400,50,348.62231507058135,33.238388326532686,SD_02
8,450,50,434.3122289979777,85.68991392739633,SD_02
9,500,50,515.1514944156474,80.83926541766975,SD_02
10,550,50,571.9933962750412,56.84190185939376,SD_02
11,600,50,592.6920462043773,20.69864992933615,SD_02
0,50,50,78.88181068135789,78.88181068135789,SO_02
1,100,50,106.2796297034037,27.397819022045812,SO_02
2,150,50,187.96023846022575,81.68060875682207,SO_02
3,200,50,203.8503412110071,15.890102750781345,SO_02
4,250,50,220.63479524001468,16.784454029007563,SO_02
5,300,50,239.06118145883642,18.426386218821726,SO_02
6,350,50,308.8146517869468,69.75347032811038,SO_02
7,400,50,392.9352794402787,84.12062765333188,SO_02
0,50,50,84.4709744800291,84.4709744800291,SR_02
1,100,50,135.51195314247371,51.040978662444616,SR_02
2,150,50,219.39816295250836,83.88620981003464,SR_02
3,200,50,283.31278143325756,63.9146184807492,SR_02
4,250,50,347.7169392753485,64.40415784209095,SR_02
5,300,50,407.4267629326729,59.709823657324335,SR_02
6,350,50,428.98916261196564,21.562399679292778,SR_02
7,400,50,464.4039392064741,35.41477659450844,SR_02
8,450,50,491.07783756887454,26.673898362400454,SR_02
9,500,50,505.0829041855542,14.005066616679656,SR_02
0,50,50,17.97194919002213,17.97194919002213,ST_02
1,100,50,102.75566468068583,84.7837154906637,ST_02
2,150,50,175.17088646926936,72.41522178858352,ST_02
3,200,50,193.50847370961517,18.33758724034582,ST_02
4,250,50,257.33650528981445,63.82803158019927,ST_02
5,300,50,310.7788305819937,53.44232529217928,ST_02
6,350,50,347.7503674502221,36.971536868228384,ST_02
