,layer_height,layer_thickness,layer_height_scaled,layer_thickness_scaled,id
0,50,50,27.994439474725056,27.994439474725056,RP_02
1,100,50,66.12062832737298,38.12618885264793,RP_02
2,150,50,121.79798847058082,55.677360143207835,RP_02
3,200,50,192.73532536482847,70.93733689424765,RP_02
4,250,50,223.81313252886594,31.077807164037473,RP_02
5,300,50,309.95842409036726,86.14529156150132,RP_02
6,350,50,381.7115493286698,71.75312523830252,RP_02
7,400,50,401.66191179215866,19.950362463488858,RP_02
8,450,50,442.9496687857437,41.28775699358504,RP_02
0,50,50,32.575035863793296,32.575035863793296,RP_05
1,100,50,79.03056172197196,46.455525858178675,RP_05
2,150,50,161.9910061115656,82.96044438959365,RP_05
3,200,50,234.81742159299802,72.82641548143242,RP_05
4,250,50,261.6699375742493,26.85251598125124,RP_05
5,300,50,303.0657303409712,41.39579276672194,RP_05
6,350,50,348.9171564617849,45.85142612081371,RP_05
0,50,50,71.69657317709772,71.69657317709772,RP_06
1,100,50,88.00711146145218,16.31053828435447,RP_06
2,150,50,152.54917155267765,64.54206009122545,RP_06
3,200,50,215.32028278047142,62.77111122779378,RP_06
4,250,50,258.4119218558385,43.091639075367084,RP_06
5,300,50,334.79250415565656,76.38058229981806,RP_06
6,350,50,351.4130776637297,16.62057350807318,RP_06
0,50,50,84.84733555489763,84.84733555489763,RP_07
1,100,50,121.66243525646276,36.81509970156513,RP_07
2,150,50,177.85925254338972,56.19681728692696,RP_07
3,200,50,238.02391456297508,60.16466201958536,RP_07
4,250,50,324.435971657947,86.41205709497189,RP_07
5,300,50,339.19168976263194,14.75571810468496,RP_07
6,350,50,352.54622012667767,13.354530364045758,RP_07
0,50,50,46.336254532545276,46.336254532545276,SM_03
1,100,50,102.37443660805822,56.03818207551294,SM_03
2,150,50,142.40127670203765,40.02684009397944,SM_03
3,200,50,155.45191758760228,13.050640885564647,SM_03
4,250,50,210.49791588815813,55.04599830055585,SM_03
5,300,50,225.31779717532999,14.819881287171867,SM_03
6,350,50,309.6910681021113,84.37327092678129,SM_03
7,400,50,393.27344414429683,83.58237604218554,SM_03
